id,name,types of restaurants,country,state,zip code,distinction,sustainability
132,Metate,Mexican, Mexico,Baja California Sur, 23454,Bib Gourmand,-
133,Casa Banana,Argentinian, Mexico,Quintana Roo, 77780,-,-
134,NÜ Tulum,"Mexican, Contemporary", Mexico,Quintana Roo, 77780,-,-
135,TENOCH by Paradero Todos Santos,"Mexican, Contemporary", Mexico,Baja California Sur, 23300,-,-
136,La Cocina de Doña Esthela,Mexican, Mexico,Baja California, 22755,Bib Gourmand,-
137,Bruma Wine Garden,Contemporary, Mexico,Baja California, 22760,-,-
138,Malva,"Mexican, Contemporary", Mexico,Baja California, 22755,-,-
139,Benno,"Mexican, MediterraneanCuisine", Mexico,Baja California Sur, 23300,-,-
140,Envero en el Valle,Mexican, Mexico,Baja California, 22750,-,-
141,Lunario,"Mexican, Contemporary", Mexico,Baja California, 22750,-,Green Star
142,Autor,"Mexican, Contemporary", Mexico,Quintana Roo, 77775,-,-
143,Fonda San Francisco,Mexican, Mexico,Nuevo León, 66230,-,-
144,KOLI Cocina de Origen,"Mexican, Creative", Mexico,Nuevo León, 66220,One Star,-
145,Hartwood,Mexican, Mexico,Quintana Roo, 77780,-,-
146,Axiote Cocina de Mexico,Mexican, Mexico,Quintana Roo, 77710,Bib Gourmand,-
147,Comal,"Mexican, Contemporary", Mexico,Baja California Sur, 23410,-,-
148,Kiosco Verde,"Seafood, RegionalCuisine", Mexico,Quintana Roo, 77520,-,-
149,Merak,"Mexican, Contemporary", Mexico,Baja California, 22766,Bib Gourmand,-
150,La Casa De Las Mayoras,"Mexican, Vegetarian", Mexico,Quintana Roo, 77524,-,-
151,Tacos El Franc,Mexican, Mexico,Baja California, 22010,-,-
152,Cocina de Autor Los Cabos,Mexican, Mexico,Baja California Sur, 23405,One Star,-
153,Carmelita Molino y Cocina,Mexican, Mexico,Baja California, 22055,Bib Gourmand,-
154,Los Tres Gallos,Mexican, Mexico,Baja California Sur, 23469,-,-
155,Corazón D'Petra,Mexican, Mexico,Baja California, 22755,-,-
156,La Concheria,"Mexican, Seafood", Mexico,Baja California, 22800,Bib Gourmand,-
157,Arbol,"Indian, Asian", Mexico,Baja California Sur, 23400,-,-
